title,label
"NASA successfully lands rover on Mars",1
"Bitcoin hits $20,000 for first time",0
"Climate change impacts the world's ecosystems",1
"Elon Musk says Earth is flat in latest tweet",0
"US economy shows strong growth despite challenges",1
"Scientists prove the Earth is hollow",0
"New medical breakthrough promises cure for cancer",1
"Aliens have made contact with humanity",0
"COVID-19 vaccines show 95% effectiveness",1
"Politician caught in bribery scandal",0
"Stock market hits record highs",1
"Supernatural creatures spotted in New York City",0
"Global warming leads to melting ice caps",1
"Time travel confirmed by new scientific experiment",0
"UN calls for stronger climate action worldwide",1
"Monarchs of Europe secretly meet to plan global takeover",0
"New technologies enable clean, renewable energy",1
"Conspiracy theorists claim the moon landing was fake",0
"World leaders sign historic peace agreement",1
"Mysterious cryptic messages found in ancient ruins",0
"Advances in AI set to revolutionize healthcare",1
"Dinosaurs have been spotted in remote jungle regions",0
"Scientists discover water on Mars",1
"Government develops technology to control human minds",0
"New electric cars offer zero emissions",1
"Scientists confirm extraterrestrial life exists",0
"Global leaders agree on climate change action",1
"Photos of a mermaid found off the coast of Australia",0
"Artificial intelligence helps detect early cancer signs",1
"Flat Earth Society claims new evidence proves their theory",0
"New global initiative to reduce poverty and hunger",1
"Time travelers seen at ancient historical events",0
